tag,layer,expert,count
prime_check,3,30,1852
prime_check,3,31,84
prime_check,3,32,21
prime_check,3,33,77
prime_check,3,34,1284
prime_check,3,35,111
prime_check,3,36,51
prime_check,3,37,12
prime_check,3,39,342
prime_check,3,40,27
prime_check,3,41,137
prime_check,3,42,67
prime_check,3,43,210
prime_check,3,44,2
prime_check,3,45,63
prime_check,3,46,2
prime_check,3,47,22
prime_check,3,48,1719
prime_check,3,49,43
prime_check,3,50,324
prime_check,3,51,782
prime_check,3,52,361
prime_check,3,53,341
prime_check,3,54,36
prime_check,3,56,297
prime_check,3,57,194
prime_check,3,58,153
prime_check,3,59,183
prime_check,3,60,224
prime_check,3,61,50
prime_check,3,62,1042
prime_check,3,63,36
prime_check,3,64,141
prime_check,3,65,3
prime_check,3,66,106
prime_check,3,67,59
prime_check,3,68,17
prime_check,3,69,659
prime_check,3,70,34
prime_check,3,71,110
prime_check,3,72,19
prime_check,3,73,34
prime_check,3,74,421
prime_check,3,75,358
prime_check,3,76,342
prime_check,3,77,300
prime_check,3,78,210
prime_check,3,81,1
prime_check,3,82,1
prime_check,3,83,358
prime_check,3,84,336
prime_check,3,85,60
prime_check,3,86,107
prime_check,3,87,9
prime_check,3,88,843
prime_check,3,89,142
prime_check,3,91,91
prime_check,3,92,319
prime_check,3,93,92
prime_check,3,94,82
prime_check,3,96,832
prime_check,3,97,462
prime_check,3,98,55
prime_check,3,99,509
prime_check,3,100,417
prime_check,3,101,80
prime_check,3,102,304
prime_check,3,103,18
prime_check,3,104,1444
prime_check,3,106,1
prime_check,3,107,705
prime_check,3,108,400
prime_check,3,109,201
prime_check,3,110,115
prime_check,3,111,683
prime_check,3,114,358
prime_check,3,115,403
prime_check,3,116,834
prime_check,3,118,573
prime_check,3,119,208
prime_check,3,120,1764
prime_check,3,121,5
prime_check,3,122,50
prime_check,3,123,51
prime_check,3,124,695
prime_check,3,125,797
prime_check,3,126,3
prime_check,3,127,44
prime_check,4,1,3709
prime_check,4,2,62
prime_check,4,3,85
prime_check,4,4,3
prime_check,4,5,33
prime_check,4,6,1
prime_check,4,7,44
prime_check,4,8,2501
prime_check,4,9,18
prime_check,4,12,10
prime_check,4,15,38
prime_check,4,17,50
prime_check,4,18,19
prime_check,4,19,96
prime_check,4,20,3
prime_check,4,22,274
prime_check,4,23,4226
prime_check,4,24,29
prime_check,4,26,72
prime_check,4,27,3819
prime_check,4,28,36
prime_check,4,29,12
prime_check,4,30,246
prime_check,4,32,119
prime_check,4,35,9
prime_check,4,36,23
prime_check,4,37,95
prime_check,4,38,30
prime_check,4,39,21
prime_check,4,40,2
prime_check,4,43,311
prime_check,4,44,1
prime_check,4,45,92
prime_check,4,47,2979
prime_check,4,49,22
prime_check,4,51,39
prime_check,4,52,2
prime_check,4,54,1406
prime_check,4,55,4198
prime_check,4,58,22
prime_check,4,59,129
prime_check,4,61,67
prime_check,4,62,53
prime_check,4,63,345
prime_check,4,64,16
prime_check,4,66,29
prime_check,4,68,155
prime_check,4,69,36
prime_check,4,70,58
prime_check,4,71,36
prime_check,4,72,104
prime_check,4,73,41
prime_check,4,74,4132
prime_check,4,75,202
prime_check,4,76,177
prime_check,4,77,347
prime_check,4,78,67
prime_check,4,79,14
prime_check,4,82,132
prime_check,4,83,10
prime_check,4,84,78
prime_check,4,85,6
prime_check,4,87,74
prime_check,4,88,37
prime_check,4,89,870
prime_check,4,90,230
prime_check,4,92,60
prime_check,4,93,44
prime_check,4,94,294
prime_check,4,95,1
prime_check,4,98,932
prime_check,4,99,18
prime_check,4,100,30
prime_check,4,103,95
prime_check,4,105,6
prime_check,4,106,72
prime_check,4,107,391
prime_check,4,109,67
prime_check,4,111,20
prime_check,4,112,18
prime_check,4,113,285
prime_check,4,115,11
prime_check,4,116,76
prime_check,4,117,88
prime_check,4,118,388
prime_check,4,119,4272
prime_check,4,120,18
prime_check,4,123,1
prime_check,4,124,65
prime_check,4,125,526
prime_check,4,126,72
prime_check,4,127,124
prime_check,5,0,212
prime_check,5,1,18
prime_check,5,2,104
prime_check,5,4,130
prime_check,5,5,19
prime_check,5,6,17
prime_check,5,7,1157
prime_check,5,8,77
prime_check,5,9,1901
prime_check,5,10,1669
prime_check,5,13,846
prime_check,5,14,606
prime_check,5,15,822
prime_check,5,16,54
prime_check,5,17,533
prime_check,5,18,22
prime_check,5,19,124
prime_check,5,20,51
prime_check,5,21,17
prime_check,5,22,310
prime_check,5,23,30
prime_check,5,24,28
prime_check,5,25,23
prime_check,5,26,2
prime_check,5,28,2322
prime_check,5,29,158
prime_check,5,30,95
prime_check,5,31,188
prime_check,5,33,2
prime_check,5,34,21
prime_check,5,35,46
prime_check,5,36,174
prime_check,5,37,172
prime_check,5,38,1507
prime_check,5,39,42
prime_check,5,41,467
prime_check,5,42,155
prime_check,5,43,184
prime_check,5,44,337
prime_check,5,45,1730
prime_check,5,46,9
prime_check,5,48,293
prime_check,5,49,2690
prime_check,5,50,31
prime_check,5,51,180
prime_check,5,52,458
prime_check,5,53,37
prime_check,5,54,13
prime_check,5,55,285
prime_check,5,56,186
prime_check,5,57,18
prime_check,5,58,240
prime_check,5,59,3
prime_check,5,60,78
prime_check,5,61,433
prime_check,5,62,5
prime_check,5,63,242
prime_check,5,64,50
prime_check,5,66,213
prime_check,5,67,3
prime_check,5,68,15
prime_check,5,70,162
prime_check,5,71,719
prime_check,5,72,9
prime_check,5,73,152
prime_check,5,74,3051
prime_check,5,75,1065
prime_check,5,76,308
prime_check,5,77,605
prime_check,5,78,120
prime_check,5,79,59
prime_check,5,80,71
prime_check,5,82,15
prime_check,5,83,465
prime_check,5,84,236
prime_check,5,87,19
prime_check,5,88,252
prime_check,5,89,45
prime_check,5,92,235
prime_check,5,93,228
prime_check,5,94,36
prime_check,5,95,2
prime_check,5,96,200
prime_check,5,97,36
prime_check,5,98,34
prime_check,5,99,60
prime_check,5,100,2096
prime_check,5,101,214
prime_check,5,103,18
prime_check,5,104,127
prime_check,5,105,23
prime_check,5,106,164
prime_check,5,108,171
prime_check,5,109,98
prime_check,5,110,807
prime_check,5,111,876
prime_check,5,112,186
prime_check,5,113,4
prime_check,5,114,79
prime_check,5,115,22
prime_check,5,116,296
prime_check,5,118,3
prime_check,5,119,74
prime_check,5,120,551
prime_check,5,122,4
prime_check,5,123,24
prime_check,5,124,154
prime_check,5,125,620
prime_check,5,126,2402
prime_check,5,127,1125
prime_check,6,0,708
prime_check,6,1,8
prime_check,6,2,808
prime_check,6,3,18
prime_check,6,4,39
prime_check,6,5,571
prime_check,6,6,173
prime_check,6,7,19
prime_check,6,9,562
prime_check,6,10,129
prime_check,6,11,5
prime_check,6,12,32
prime_check,6,13,308
prime_check,6,14,18
prime_check,6,16,67
prime_check,6,17,2
prime_check,6,18,77
prime_check,6,19,200
prime_check,6,20,457
prime_check,6,21,2292
prime_check,6,22,16
prime_check,6,23,111
prime_check,6,24,50
prime_check,6,25,19
prime_check,6,26,263
prime_check,6,27,201
prime_check,6,28,1714
prime_check,6,29,73
prime_check,6,30,2
prime_check,6,31,38
prime_check,6,34,2
prime_check,6,35,18
prime_check,6,37,3079
prime_check,6,38,66
prime_check,6,39,706
prime_check,6,41,894
prime_check,6,42,200
prime_check,6,43,119
prime_check,6,44,198
prime_check,6,46,3555
prime_check,6,47,198
prime_check,6,49,37
prime_check,6,50,73
prime_check,6,51,545
prime_check,6,52,19
prime_check,6,53,194
prime_check,6,54,24
prime_check,6,55,5
prime_check,6,56,16
prime_check,6,57,20
prime_check,6,58,221
prime_check,6,59,134
prime_check,6,60,182
prime_check,6,61,774
prime_check,6,62,269
prime_check,6,63,167
prime_check,6,64,25
prime_check,6,65,18
prime_check,6,66,18
prime_check,6,67,2
prime_check,6,68,21
prime_check,6,69,1747
prime_check,6,70,113
prime_check,6,71,419
prime_check,6,72,45
prime_check,6,73,44
prime_check,6,74,7
prime_check,6,75,196
prime_check,6,77,39
prime_check,6,78,4
prime_check,6,80,35
prime_check,6,81,43
prime_check,6,82,19
prime_check,6,85,389
prime_check,6,86,606
prime_check,6,87,1
prime_check,6,89,104
prime_check,6,90,125
prime_check,6,91,2
prime_check,6,93,3937
prime_check,6,94,22
prime_check,6,95,152
prime_check,6,96,156
prime_check,6,97,33
prime_check,6,98,232
prime_check,6,99,37
prime_check,6,102,240
prime_check,6,103,175
prime_check,6,104,103
prime_check,6,105,81
prime_check,6,106,921
prime_check,6,107,67
prime_check,6,108,18
prime_check,6,110,1949
prime_check,6,111,1721
prime_check,6,112,30
prime_check,6,113,834
prime_check,6,114,269
prime_check,6,115,211
prime_check,6,116,103
prime_check,6,118,4
prime_check,6,119,971
prime_check,6,120,2
prime_check,6,121,611
prime_check,6,122,2085
prime_check,6,123,187
prime_check,6,126,285
prime_check,6,127,23
prime_check,7,0,496
prime_check,7,2,1
prime_check,7,3,2021
prime_check,7,4,352
prime_check,7,5,18
prime_check,7,6,221
prime_check,7,7,38
prime_check,7,8,176
prime_check,7,9,9
prime_check,7,10,296
prime_check,7,11,38
prime_check,7,12,41
prime_check,7,13,226
prime_check,7,14,21
prime_check,7,16,209
prime_check,7,17,142
prime_check,7,18,341
prime_check,7,19,219
prime_check,7,20,500
prime_check,7,21,1553
prime_check,7,22,1741
prime_check,7,24,684
prime_check,7,26,437
prime_check,7,28,49
prime_check,7,29,230
prime_check,7,31,1766
prime_check,7,32,420
prime_check,7,33,487
prime_check,7,35,36
prime_check,7,36,1
prime_check,7,37,1589
prime_check,7,39,58
prime_check,7,40,2
prime_check,7,41,140
prime_check,7,42,166
prime_check,7,43,1191
prime_check,7,44,58
prime_check,7,45,58
prime_check,7,47,188
prime_check,7,48,629
prime_check,7,49,106
prime_check,7,50,18
prime_check,7,51,322
prime_check,7,52,839
prime_check,7,53,122
prime_check,7,54,538
prime_check,7,55,124
prime_check,7,56,591
prime_check,7,57,1780
prime_check,7,59,385
prime_check,7,60,93
prime_check,7,61,72
prime_check,7,64,206
prime_check,7,65,188
prime_check,7,66,99
prime_check,7,67,40
prime_check,7,68,148
prime_check,7,69,139
prime_check,7,70,659
prime_check,7,71,287
prime_check,7,72,71
prime_check,7,74,988
prime_check,7,76,212
prime_check,7,77,282
prime_check,7,78,18
prime_check,7,79,18
prime_check,7,80,489
prime_check,7,81,50
prime_check,7,82,396
prime_check,7,83,174
prime_check,7,84,92
prime_check,7,85,30
prime_check,7,86,262
prime_check,7,87,90
prime_check,7,88,340
prime_check,7,89,565
prime_check,7,90,181
prime_check,7,91,54
prime_check,7,92,72
prime_check,7,93,18
prime_check,7,94,65
prime_check,7,95,188
prime_check,7,96,181
prime_check,7,97,223
prime_check,7,98,1690
prime_check,7,100,20
prime_check,7,101,362
prime_check,7,102,603
prime_check,7,103,18
prime_check,7,104,40
prime_check,7,105,925
prime_check,7,106,609
prime_check,7,107,320
prime_check,7,108,212
prime_check,7,109,278
prime_check,7,110,56
prime_check,7,111,141
prime_check,7,112,88
prime_check,7,113,375
prime_check,7,114,341
prime_check,7,115,354
prime_check,7,116,99
prime_check,7,117,439
prime_check,7,118,307
prime_check,7,120,211
prime_check,7,121,152
prime_check,7,122,2
prime_check,7,123,1158
prime_check,7,126,116
prime_check,7,127,2597
prime_check,8,1,64
prime_check,8,2,62
prime_check,8,3,37
prime_check,8,4,188
prime_check,8,5,407
prime_check,8,6,152
prime_check,8,7,18
prime_check,8,8,18
prime_check,8,9,86
prime_check,8,10,46
prime_check,8,12,379
prime_check,8,13,755
prime_check,8,14,2022
prime_check,8,15,22
prime_check,8,16,195
prime_check,8,17,32
prime_check,8,18,79
prime_check,8,19,30
prime_check,8,20,42
prime_check,8,21,1
prime_check,8,22,7
prime_check,8,23,4
prime_check,8,24,145
prime_check,8,25,57
prime_check,8,27,337
prime_check,8,28,65
prime_check,8,29,189
prime_check,8,30,3
prime_check,8,31,612
prime_check,8,32,36
prime_check,8,33,21
prime_check,8,34,99
prime_check,8,36,151
prime_check,8,37,224
prime_check,8,38,462
prime_check,8,39,42
prime_check,8,40,8
prime_check,8,41,164
prime_check,8,42,159
prime_check,8,43,16
prime_check,8,44,607
prime_check,8,45,36
prime_check,8,46,238
prime_check,8,47,249
prime_check,8,48,18
prime_check,8,49,172
prime_check,8,50,106
prime_check,8,51,341
prime_check,8,52,247
prime_check,8,54,316
prime_check,8,55,17
prime_check,8,56,897
prime_check,8,57,385
prime_check,8,58,68
prime_check,8,59,1
prime_check,8,60,18
prime_check,8,61,18
prime_check,8,62,135
prime_check,8,64,309
prime_check,8,65,354
prime_check,8,66,453
prime_check,8,68,1951
prime_check,8,69,84
prime_check,8,70,3
prime_check,8,71,151
prime_check,8,72,352
prime_check,8,73,164
prime_check,8,74,93
prime_check,8,75,353
prime_check,8,76,64
prime_check,8,77,252
